name,Make,variant,price,mileage,Type,Model,Body,Fuel,Other Fuel Types,CO2 Emission,Emission Label,Emission Class,horse power,Displacement,Cylinders,Warranty,Previous Owners,first registration,First Registration,Consumption,consumption_country,consumption_city,Electricity consumption,Gearing Type,Gears,Nr. of Seats,Nr. of Doors,Paint Type,Body Color Original,Body Color,Upholstery,Inspection new,Next Inspection,Last Service Date,Full Service,Last Timing Belt Service Date,Perm. GVW,Drive chain,Model Code,Weight,Non-smoking Vehicle,Country version,Offer Number,url_address
SEAT Leon,SEAT,"1.9 TDi CLIM, ATT REMORQUE, JANTES ALU",€ 850.-,401815,Used,Leon,Sedans,Diesel,,140 g/km (comb),,Euro 3,110,"1,896 cc",4,,,10/2004,2004,5.2 l/100 km (comb),4.3 l/100 km (country),6.8 l/100 km (city),,Manual,5,5,5,Metallic,,Black,"Cloth, Grey",,,,,,,Front,,"1,239 kg",,,,https://www.autoscout24.com/offers/seat-leon-1-9-tdi-clim-att-remorque-jantes-alu-diesel-black-87a8e893-8707-4b8c-9d9e-670a67947b82?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mazda 6,Mazda,Kombi 2.3 Top,€ 890.-,194590,Used,6,Station wagon,Super E10 95 / Super 95,Super 95,,4 (Green),,166,"2,261 cc",,,2,04/2005,2005,,,,,Manual,5,,4,,Titangrau Metallic,Grey,"Cloth, Black",,,,,,,,,,,Germany,2017_60184,https://www.autoscout24.com/offers/mazda-6-kombi-2-3-top-gasoline-grey-2405ceab-2e71-4337-8f91-ad633b604d8b?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Astra,Opel,1.2 RCD+4xAirb+EURO4+el.Fenster+AluAllwett,€ 899.-,102430,Used,Astra,Sedans,Regular/Benzine 91,,0 g/km (comb),4 (Green),Euro 4,75,"1,199 cc",,,3,10/2000,2000,0 l/100 km (comb),0 l/100 km (country),0 l/100 km (city),,Manual,,5,5,,Casablancaweiss,White,"Cloth, Grey",,05/2022,,,,,,0035/406,,,,S34482,https://www.autoscout24.com/offers/opel-astra-1-2-rcd-4xairb-euro4-el-fenster-aluallwett-gasoline-white-079b452d-1ec3-4610-9dc4-e2467838db06?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Nissan Primera,Nissan,2.2 D Klima AHK Kein TÜV !!!,€ 899.-,150000,Used,Primera,Sedans,Diesel,,0 g/km (comb),,Euro 3,126,"2,184 cc",4,,1,02/2003,2003,,,,,Manual,6,5,4,,gruen,Green,Cloth,,,,,,,Front,,,,Germany,1928,https://www.autoscout24.com/offers/nissan-primera-2-2-d-klima-ahk-kein-tuev-diesel-green-9f828b08-4c81-4961-a6e3-af31a20b6993?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Honda Civic,Honda,CD/RADIO AIRBAG USB AUX,€ 899.-,236000,Used,Civic,Compact,,,,,,-,,,,,05/2001,2001,,,,,Manual,,5,2,,,Silver,"Cloth, Grey",,,,,,,,1396/066,,,,6026,https://www.autoscout24.com/offers/honda-civic-cd-radio-airbag-usb-aux-silver-bc435ae4-7bd3-4b94-b738-9d004c17fc1b?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Honda CR-V,Honda,EFH/2.Hand/TÜV/ASU/FAHRTÜCHTIG,€ 949.-,245000,Used,CR-V,Off-Road/Pick-up,Super 95 / Super Plus 98 / Super E10 95 / Regular/Benzine 91,Super Plus 98,0 g/km (comb),,,128,"1,973 cc",4,,2,01/1999,1999,,,,,Manual,5,,5,,schwarz,Black,"Cloth, Black",,03/2022,,,,,4WD,7100/511,,,,2020256 GW__1,https://www.autoscout24.com/offers/honda-cr-v-efh-2-hand-tuev-asu-fahrtuechtig-gasoline-black-f092ea00-6e69-44a9-8ded-92029f23df92?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Scenic,Renault,1.6 16V RXE*Klima*Alu*,€ 950.-,175778,Used,Scenic,Station wagon,Regular/Benzine 91,,180 g/km (comb),4 (Green),Euro 4,107,"1,598 cc",,,,02/2000,2000,9.6 l/100 km (comb),7.9 l/100 km (country),12.6 l/100 km (city),,Manual,,5,4,,ROT CERISE,Red,"Velour, Grey",,,,,,,,,,,Germany,,https://www.autoscout24.com/offers/renault-scenic-1-6-16v-rxe-klima-alu-gasoline-red-a6c61ee4-a678-47b5-ba19-e07f42d1a274?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mitsubishi Colt,Mitsubishi,1.3 Comfort*Klima*HU 08.2021*TOP*,€ 950.-,154684,Used,Colt,Sedans,Super 95,,156 g/km (comb),4 (Green),Euro 4,82,"1,299 cc",,,,07/2002,2002,6.6 l/100 km (comb),5.4 l/100 km (country),8.7 l/100 km (city),,Manual,,5,2,,Silber,Silver,"Cloth, Black",,08/2021,,,,,,7107/286,,,Germany,,https://www.autoscout24.com/offers/mitsubishi-colt-1-3-comfort-klima-hu-08-2021-top-gasoline-silver-a6256767-d7da-4b19-bba5-e89f6f538a66?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Meriva,Opel,Enjoy,€ 950.-,174000,Used,Meriva,Van,Super 95 / Super E10 95,Super E10 95,178 g/km (comb),4 (Green),Euro 4,101,"1,598 cc",4,,,07/2004,2004,7.5 l/100 km (comb),6.1 l/100 km (country),9.9 l/100 km (city),,Manual,5,5,5,Metallic,Lichtsilber M2,Silver,,,12/2020,,,,,Front,0035/482,"1,300 kg",,,La./33779,https://www.autoscout24.com/offers/opel-meriva-enjoy-gasoline-silver-c06b7832-cef5-44b5-b7b2-6b0420ee3cf6?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford Focus,Ford,"1.6i SE 16v Tonic CLIM, RADIO CD",€ 990.-,211628,Used,Focus,Sedans,Gasoline,,167 g/km (comb),,Euro 4,101,"1,596 cc",4,,,04/2003,2003,7 l/100 km (comb),5.6 l/100 km (country),9.4 l/100 km (city),,Manual,5,5,3,Metallic,,Grey,"Cloth, Grey",,,,,,,Front,,"1,145 kg",,,,https://www.autoscout24.com/offers/ford-focus-1-6i-se-16v-tonic-clim-radio-cd-gasoline-grey-54e790d3-c294-4af6-ae44-e3d0007f9ae5?cldtidx=1&cldtsrc=listPage&searchId=1964176808
SEAT Leon,SEAT,1.6,€ 990.-,157000,Used,Leon,Sedans,Super 95,,,1 (No sticker),,105,"1,598 cc",,,,01/2002,2002,,,,,Manual,5,,,,Blau,Blue,"Cloth, Other",,,,,,,,,,,Germany,1008_63903,https://www.autoscout24.com/offers/seat-leon-1-6-gasoline-blue-30c199e9-4efd-4ef9-aaa7-90a384ebd8ba?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mazda 323,Mazda,1.5 88PS ACTIVE+1.HAND+KLIMAANLAGE+RADIO+CD,€ 990.-,123855,Used,323,Sedans,Regular/Benzine 91,,0 g/km (comb),4 (Green),Euro 2,88,"1,498 cc",,,1,07/2000,2000,6.2 l/100 km (comb),6 l/100 km (country),6.4 l/100 km (city),,Manual,5,5,5,,klassischrot,Red,"Cloth, Other",,07/2021,,,,,,,"1,150 kg",,Germany,3098_63625,https://www.autoscout24.com/offers/mazda-323-1-5-88ps-active-1-hand-klimaanlage-radio-cd-gasoline-red-e61043dc-4b93-4295-a692-e374b3683d48?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Citroen Berlingo,Citroen,1.9 D ATTACHE REMORQUE,€ 990.-,236409,Used,Berlingo,Van,Diesel,,178 g/km (comb),,Euro 3,69,"1,868 cc",4,,,02/2002,2002,6.6 l/100 km (comb),5.4 l/100 km (country),8.6 l/100 km (city),,Manual,5,5,5,,,Yellow,"Other, Grey",,,,,,,Front,,"1,185 kg",,,,https://www.autoscout24.com/offers/citroen-berlingo-1-9-d-attache-remorque-diesel-yellow-8dba7109-6ac5-416e-85e4-887b500aa022?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Citroen C2,Citroen,1.1i Furio,€ 990.-,289321,Used,C2,Sedans,Gasoline,,138 g/km (comb),,Euro 4,60,"1,124 cc",4,,,11/2006,2006,5.8 l/100 km (comb),4.8 l/100 km (country),7.5 l/100 km (city),,Manual,5,4,3,,,Red,"Cloth, Grey",,,,,,,Front,,"1,031 kg",,,,https://www.autoscout24.com/offers/citroen-c2-1-1i-furio-gasoline-red-dba9a2cd-5ea8-4e86-908a-c4af19c1b14a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford Fusion,Ford,"1.4 Turbo TDCi Ghia CLIM, JANTES ALU, RADIO CD",€ 990.-,182180,Used,Fusion,Sedans,Diesel,,117 g/km (comb),,Euro 3,68,"1,399 cc",4,,1,05/2004,2004,4.4 l/100 km (comb),3.9 l/100 km (country),5.2 l/100 km (city),,Manual,5,5,5,Metallic,,Blue,"Cloth, Grey",,,,,,,Front,,"1,157 kg",,Belgium,,https://www.autoscout24.com/offers/ford-fusion-1-4-turbo-tdci-ghia-clim-jantes-alu-radio-cd-diesel-blue-fb0e1ca9-fcac-49f3-8631-2dfbc2026a9b?cldtidx=1&cldtsrc=listPage&searchId=1964176808
